Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
Genius Teacher,2016,Mumbai,Education,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students","Advitiya Sharma, Gaurav Lahoti","Whiteboard Capital, VKG Ventures LLP.",2000000.0,Unknown Stage
Ultraviolette Automotive,2014,Bangalore,Manufacturing,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,4000000.0,Series B
Tring,2019,Mumbai,Media & Entertainment,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.","Akshay Saini, Rahul Saini, Pranav Chabhadia","Sujeet Kumar, Hemesh Singh",3000000.0,Unknown Stage
Rare Planet,2015,Kolkata,Retail,Rare Planet sells handicrafts made by local artisans.,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,400000.0,Pre-Series
GoodGamer,2020,Bangalore,Technology,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,Charles Creighton,unknown,2500000.0,Seed
InnAccel,2012,Bangalore,Health,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",Siraj Dhanani,Mount Judi Ventures,1500000.0,Pre-Series
Tiliter,2017,Sydney,Retail,Software that uses computer vision to recognise products without barcodes,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec",7500000.0,Unknown Stage
Slintel,2016,San Francisco,Retail,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.","Deepak Anchala, Rahul Bhattacharya, Ranjana TN","Accel, Stellaris Venture Partners",4200000.0,Unknown Stage
SoOLEGAL,2015,New Delhi,Services,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",Manish Kaul,unknown,4000000.0,Unknown Stage
HobSpace,2019,Mumbai,Education,India's Activity Hub for Kids,"Priya Goel Sheth, Harsh Jain",Artha Venture,200000.0,Seed
Supplynote,2015,Noida,Technology,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash","MOX, SOSV",500000.0,Seed
Hire Me Car,2016,Noida,Services,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,Pankaj Sharma,unknown,3000000.0,Seed
ShopUp,2017,Bangaldesh,E-commerce,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.","Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital",22000000.0,Series A
Harmonizer India,2019,Bangalore,Technology,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",M R Srinivas,Kapil Dev,3000000.0,Unknown Stage
Zomato,2008,Gurugram,Food and Beverages,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",52000000.0,Unknown Stage
Dukaan,2020,Mumbai,Technology,Developer of an android application designed for businesses to sell online.,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners.",6000000.0,Seed
CredR,2014,Mumbai,E-commerce,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,"Nikhil Jain, Nittin Mittal, Sumit Chhazed","Eight Roads Ventures, On Mauritius",2000000.0,Unknown Stage
Satyukt,2018,Bangalore,Agriculture,An agritech company that provides business to business (B2B) agricultural data,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)",500000.0,Seed
RACEnergy,2018,Hyderabad,Manufacturing,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,"Arun Sreyas, Gautham Maheswaran","growX Ventures, Huddle (Incubator)",3000000.0,Unknown Stage
