Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
IDfy,2011,Mumbai,Technology,IDfy provides risk and fraud solutions,"Ashok Hariharan, Vineet Jawa","Millenna FVCI III, NB Ventures, Dream Incubator",2110000.0,Series A
True Balance,2014,Gurugram,Finance,Earn money by meeting financial needs of your friends and neighbors.,"Charlie, Jay, Martin",Balancehero,3000000.0,Series C
Bira91,2015,New Delhi,Food and Beverages,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,Ankur Jain,Anicut Capital,764000.0,Unknown Stage
Max wholesale,2016,New Delhi,E-commerce,MaxWholesale is an online distributor that provides authentic FMCG goods,"Samarth Agrawal, Rohit Narang","Al Falaj Commercial Investment Co, Vistra ITCL India",603000.0,Unknown Stage
Craftsvilla,2011,Mumbai,E-commerce,"Sells ethnic apparel, footwear, fashion accessories, beauty products, handcrafted home accessories","Manoj Gupta, Monica Gupta",Supera Investments,409000.0,Unknown Stage
MechMocha,2011,Bangalore,Media & Entertainment,India's first vernacular social gaming platform,"Arpita Kapoor, Mohit Rangaraju, Shilp Gupta","Accel India, Blume Ventures, 3F Ventures, Akatsuki Inc",292000.0,Series A
Mindhouse,2019,Gurugram,Health,A gym to train your mind offering workouts and programmes,"Pankaj Chaddah, Staff Pooja Khanna","GGV Capital, Sahi Barual",286000.0,Unknown Stage
DeepSync,2018,Chandigarh,Technology,"A revolutionary way to record your content, without you really speaking","Ishan Sharma, Rishikesh","Grand Anicut Angel Fund (GAAF), AL Trust, Beeline Impex Private Limited, 9Unicorns, Accelerator Fund",136000.0,Unknown Stage
Eruditus,2010,Mumbai,Education,Bring world-class business and professional education to a global audience,"Chaitanya Kalipatnapu, Ashwin Damera","Bertelsmann India Investments, Sequoia Capital India",3000000.0,Unknown Stage
Gradeup,2015,Noida,Education,"India's largest exam preparation destination,",Shobhit Bhatnagar,"Times Internet, TLabs",546000.0,Unknown Stage
Tracxn,2013,Bangalore,Finance,Tracxn is the research partner for Venture Capitalist,"Abhishek Goyal, Neha Singh","Saif partners, Accel partners, Sequoia capital",887000.0,Series B
Purple Style Labs,2015,Mumbai,Lifestyle,Shopping experience and foster the growth of Indian brands and designers.,Abhishek Agarwal,"Jitendra Gupta, Astarc Ventures.",43000.0,Unknown Stage
ProPhysio,2016,Bangalore,Health,The largest provider of physiotherapy and rehabilitation services,Pramod Ravindra,Nestavera Ventures.,40900.0,Unknown Stage
Flickstree,2014,Mumbai,Technology,World's largest video publisher,"Saurabh Singh, Rahul Jain, Nagender Sangra","MOX, Venture Catalysts",40900.0,Unknown Stage
Settl,2015,Gurugram,Lifestyle,Get affordable AC bus-rides everyday,"Amit Singh, Deepanshu Malviya","Sojitz, SIG Global India Fund",3000000.0,Unknown Stage
Fanspole,2015,Thane,Media & Entertainment,India's only social fantasy gaming platform,"Aniket Shinde, Hardik Gondaliya","Mohan Verma, Better Capital",3000000.0,Pre-Seed
Sarva,2016,Mumbai,Health,A wellness ecosystem built on the authentic foundations of Yoga,Sarvesh Shashi,"Shikhar Dhawan, Mantra Capital",3000000.0,Unknown Stage
Univ.ai,2019,Bangalore,Education,"A distributed, global educational powerhouse that draws on technology","Siddharth Das, Dr Rahul Dave, Dr Pavlos Protopapas",Kiran Mazumdar Shaw.,3000000.0,Unknown Stage
PurohitJi,2016,Bangalore,Media & Entertainment,App for Hindu Puja Products & Services,Nakerikanti Harish,Bhadresh,3000000.0,Unknown Stage
CredoLab,2015,Singapore,Technology,AI credit scoring platform,Peter Barcak,"GB Group, Walden International",7000000.0,Series A
Brick&Bolt,2018,Bangalore,Real Estate,"A construction company doing house construction, building construction, commercial construction","Arpit Rajpurohit, Jayesh Rajpurohit","Meghna Agarwal, Navin Dhanuka",2200000.0,Series A
Grinntech,2013,Chennai,Manufacturing,Leading on all fronts of battery design,"Nikhilesh Mishra, Puneet Jain","V Sumantran, V Lakshmi Narayanan",2000000.0,Unknown Stage
6Degree,2014,Mumbai,Lifestyle,India's leading fashion business platform,"Amit Bhardwaj, Nikhil Hegde.","Keiretsu Forum, SucSEED Venture Partners",340000.0,Unknown Stage
Exprs,2018,Bangalore,Technology,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.","Srinivas Madhavam, Srikanth Rajashekhar, Rahul Mehta","Sweta Rau, Sandeep Kapoor",5660000.0,Unknown Stage
Bikayi,2019,Hyderabad,E-commerce,Provides free whatsapp integrated E-Commerce Store,"Sonakshi Nathani, Ashutosh Singla",Mantis ventures,2000000.0,Seed
Virtual Forest,2019,Bangalore,Technology,Tracking seasonal change in virtual forest,Omer Basith,Napino Auto and Electronics Ltd,3000000.0,Unknown Stage
The Health company,2018,Gurugram,Health,Organic superfoods & free personal health coaching that actually work.,"Devansh Jain Nawal, Ackshay Jain","VCATS, First Cheque, 9Unicorns, Marquee investors",350000.0,Unknown Stage
TrulyMadly Matchmakers,2014,Gurugram,Media & Entertainment,One of the best dating Apps in India connecting singles across the country.,Snehil Khanor,"AngelList, Inflection Point Ventures, The Chennai Angels",110000.0,Pre-Series
TrueFan,2020,Mumbai,Media & Entertainment,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,"Nimish Goel, Nevaid Aggarwal, Devender Bindal","Mayfield India, Saama Capital, Ronnie Screwvala",4300000.0,Seed
Fanspole,2015,Mumbai,Technology,A free app that users can use to create contests and play,"Aniket Shinde, Hardik Gondaliya",Better Capital,3000000.0,Angel
Byju's,2011,Bangalore,Education,Provides online learning classes,Byju Raveendran,DST Global,122000000.0,Unknown Stage
Avail Finance,2017,Bangalore,Finance,Instant online loan app,"Ankush Aggarwal, Tushar Mehndiratta","Alphawave, Matrix Partners",11635000.0,Series B
The Money Club,2016,Delhi,Technology,AI based chit fund cashier app,"Manuraj Jain, Surajit Raj",Venture Catalysts,3000000.0,Unknown Stage
Virohan,2018,Gurgaon,Health,Healthcare training company,"Kunaal Dudeja, Nalin Saluja, Archit Jayaswal","Keiretsu Forum, Elea Foundation",2800000.0,Seed
OneCode,2016,Gurugram,E-commerce,Connects new-age digital first brands with relevant sellers,"Manish Shara, Yash Desai",WaterBridge Ventures,3000000.0,Seed
Verloop.io,2015,Bangalore,Technology,Helps automate customer service using Artificial Intelligence,Gaurav Singh,Alpha Wave incubation,5000000.0,Unknown Stage
Otipy,2020,Bangalore,Agriculture,Connects consumers with farmers thorugh women resellers,Varun Khanna,Inflection Point Ventures,1000000.0,Pre-Series
Evage,2014,Chandigarh,Transportation & Logistics,Develop emissions-free electric commercial vehicles,Inderveer Singh,Anand Shah,3000000.0,Unknown Stage
LEAD School,2012,Mumbai,Education,Offers an integrated system for schools by helping them digitize the entire curriculum,"Sumeet Yashpal Mehta, Smita Deorah","WestBridge Capital, Elevar Equity",28000000.0,Series C
Trell,2016,Bangalore,E-commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","KTB Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch",11000000.0,Series A
Captain Fresh,2019,Bangalore,Transportation & Logistics,Sea food Supply chain,Utham Gowda,Ankur Capital,2300000.0,Pre-Series
Teachmint,2016,Bangalore,Education,Empowers tutors with tools to deliver effective learning outcomes for students and parents,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Better Capital,3000000.0,Unknown Stage
Pixxel,2019,Bangalore,Engineering,Indian Earth observation startup,"Kshitij Khandelwal, Awais Ahmed","Lightspeed India Partners, Blume Ventures, GrowX ventures",5000000.0,Seed
Habbit Health,2019,Delhi,Health,Applies modern science for healthier life through proprietary foods & digital ecosystem,Dhruv Bhushan,"3one4 Capital, Angel list India",3000000.0,Angel
SmarterBiz,2014,Bangalore,Technology,An end-to-end CX platform enabled with the gig workforce,"Rajesh Bernard, Vijay Krishna, Prateek Mehta","StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",1065000.0,Pre-Series
Able Jobs,2019,Bangalore,Human Resources,Provides end to end hiring support to companies,"Ravish Agrawal, Swatantra Kumar, Siddharth Srivastav","SAIF Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.",2000000.0,Unknown Stage
Vieroots,2018,Kochi,Health,Personalised lifestyle management using epigenetic science,Sanjeev Nair,Suniel Shetty,3000000.0,Unknown Stage
Stack Finance,2019,Bangalore,Finance,"It automates invesments, expenses, borrowing under a single platform",Smriti Tomar,"SOSV, MOX (Mobile Only Accelerator)",3000000.0,Seed
FPL Technologies,2016,Pune,Finance,OneScore app is built by FPL - Free credit scoring and monitoring,Anurag Sinha,"Matrix Partners India, Sequoia Capital India, Hummingbird Ventures",10000000.0,Series A
Masai School,2019,Bangalore,Education,It trains tech aspirants in full stack wed and android development,"Prateek Shukla, Nrupul Dev, Yogesh Bhat","Unitus Ventures, India Quotient, AngelList India",2500000.0,Series A
Mitron,2016,Bangalore,Media & Entertainment,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal.",Nexus Venture Partners,5000000.0,Series A
Daalchini,2017,Bangalore,Technology,Physical and Digital vending machines startup,"Prerna Kalra, Vidya Bhushan",Artha Venture Fund,669000.0,Pre-Series
Suno India,2018,Bangalore,Media & Entertainment,Multilingual podcast platform,"DVL Padma Priya, Rakesh Kamal, Tarun Nirwan",Shobu Yarlagadda,3000000.0,Angel
LendingKart,2014,Ahmedabad,Finance,Provides working capital loans and business loans to MSMEs,"Public banks, Private lenders","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",16076000.0,Later Stage
Text Mercato,2015,Bangalore,Finance,Cataloguing startup that serves ecommerce platforms,"Kiran Ramakrishna, Subhajit Mukherjee",1Crowd,649600.0,Series A
Eden Smart Homes,2018,Bangalore,Technology,Develops smart home automation systems,"Pranjal Kacholia, Divyansh Mathur",Inflection Point Ventures,3000000.0,Unknown Stage
GrayQuest,2017,Mumbai,Education,Enables parents to pay their annual education fees in up to 12 monthly installments,Rishab Mehta,Foundation Holdings,1000000.0,Pre-Series
BigHaat,2015,Bangalore,Agriculture,Agri-inputs ecommerce player,"Sateesh Nukala, SachinNandwana","Ankur Capital, Beyond Next Ventures",2000000.0,Pre-Series
CityCash,2017,Mumbai,Finance,Focusses on creating a transit led micro-payments ecosystem,Vineet Toshniwala,Orios Venture Partners,1000000.0,Seed
HomeLane,2014,Chennai,Lifestyle,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",1000000.0,Later Stage
HungerBox,2015,Bangalore,Food and Beverages,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar",IIFL Income Opportunities Fund,6700000.0,Series C
DaveAI,2016,Bangalore,Technology,Sales augmentation platform with a vision to democratise AI for enterprises,"Ananthakrishnan Gopal, Ashok Balasundaram, Sriram P H",Mumbai Angels Network,3000000.0,Unknown Stage
Eduvanz,2016,Mumbai,Finance,Digital finance NBFC that provides affordable education loans,"Varun Chopra, Raheel Shah",Sequoia India,5000000.0,Series A
ZipLoan,2015,Delhi,Finance,Provides loans to MSMEs,"Kshitj Puri, Shalabh Singhal",Stride Ventures,2000000.0,Unknown Stage
DocSumo,2019,Mumbai,Technology,Platform helps to automate and analyse financial data,"Rushabh Sheth, Bikram Dahl","Better Capital, TechStars, Barclays.",220000.0,Seed
CUSMAT,2016,Warangal,Technology,It builds high immersion training systems for enterprises,"Abhinav Ayan, Anirban Jyoti Chakravorty, Soumyaranjan Harichandan","Venture Catalysts,  Raveen Sastry",3000000.0,Unknown Stage
Chingari,2018,Bangalore,Media & Entertainment,Short video platform,"Biswatma Nayak, Siddharth Gautam","AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati",1300000.0,Seed
Bolo Indya,2016,Gurugram,Media & Entertainment,User-generated content platform,Varun Saxena,"Eagle10 Ventures, India Accelerator, HNIs",300000.0,Pre-Seed
Data Sutram,2018,Kolkata,Technology,Platform gathers intel from external data to provide location-based data intelligence.,"Rajit Bhattacharya, Aisik Paul, Ankit Das","Uday Sodhi, Mitesh Shah, Nitin Jain",266500.0,Unknown Stage
Wobot Intelligence,2016,Delhi,Technology,AI backed video analytics platform,"Adit Chhabra, Tapan Dixit,Tanay Dixit.",Sequoia Capital India,2500000.0,Pre-Series
DrinkPrime,2016,Bangalore,Transportation & Logistics,Subscription-based Water purifier startup,"Viijender Reddy, Manas Ranjan Hota",Sequoia Surge,2879000.0,Pre-Series
Infeedo,2013,Gurugram,Human Resources,An employee engagement HR analytics platform,"Tanmaya Jain, Varun Puri",Y Combinator,700000.0,Unknown Stage
Probus Smart Things,2016,Delhi,Technology,Platform for monitoring distribution sub-station performance and operations,"Anand Singh, Ankit Vaish",Unicorn India Ventures,3000000.0,Seed
CrowdPouch,2016,Bangalore,Technology,A reward-based fundraising and preselling platform,Vittal Ramakrishna,Elina Investments,3000000.0,Angel
Rebel Foods,2011,Mumbai,Food and Beverages,Cloud kitchen platform,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,26500000.0,Later Stage
Hevo,2017,Bangalore,Technology,Data pipeline startup,"Manish Jethani, Sourabh Agarwal","Qualgro, Lachy Groom",8000000.0,Series A
BigSpoon Foods,2019,Ahmedabad,Food and Beverages,Cloud kitchen startup,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",2000000.0,Pre-Seed
Chingari,2016,Bangalore,Media & Entertainment,Homegrown short video platform,Sumit Ghosh,"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global.",1000000.0,Seed
ShareChat,2015,Bangalore,Media & Entertainment,Indian social network platform,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","All About Inc, Beenext Pte Led, Beenos Asia, DG Ventures, Kanamori Assagement Singapore, Rebright Partners I, Rebright Partners II, Tetsuro Koda",351000.0,Unknown Stage
DatStop,2016,Delhi,Hospitality,It offers urban social space,Dhruvin Shah,"Shabir Momin, OneDigital Entertainment,  Saurabh Pathak.",3000000.0,Unknown Stage
IPHM Services,2016,Mumbai,Health,It helps design programs and workshops for the psychological well-being of individuals,Dr. Sachin Bhavsar,Indian Angel Fund,3000000.0,Seed
Wellcure,2016,Gurugram,Health,It caters to all health and wellness needs,"Sumeet Kapur, Ankur Bhatia, Aanchal Kapur",Inflection Point Ventures,200000.0,Unknown Stage
VilCart,2018,Bangalore,E-commerce,"Retail industry in rural India through technology, supply chain, and logistics facilities.","Prasanna Kumar, Mahesh Bhat, Rajasekhar, Amith S Mali","N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash",3000000.0,Pre-Series
Firescore,2016,Mumbai,Technology,Game development studio,"Karan Khairajani, Surojit Roy",Crazy Labs,500000.0,Unknown Stage
BulBul,2018,Gurgaon,E-commerce,A video and livestream led commerce platform that makes online shopping engaging,"Sachin Bhatia, Atit Jain",Info Edge,3000000.0,Unknown Stage
Toppr,2013,Mumbai,Education,It provides AI-based after school learning app for K12,Zishaan Hayath,Foundation Holdings,46761000.0,Later Stage
Pickright Technologies,2019,Bangalore,Finance,Marketplace for stock market investors and advisors,"Archana Elapavuluri, Namandeep Bhatia, Siddharth Panjwani","Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",175000.0,Seed
Muse Wearables,2018,Chennai,Technology,It sells the world’s first payment-enabled hybrid smartwatches,"K.L.N Sai Prasanth, Yathindra Ajay K.A, K. Prathyusha",Dr. Bhaskar Rao Bollineni,3000000.0,Unknown Stage
SATYA Microcapital,1995,Delhi,Finance,Microfinance company that offers collateral-free credit to micro enterprises,Vivek Tiwari,BlueOrchard Finance Limited,3000000.0,Unknown Stage
WYN Studio,2016,Gurugram,Media & Entertainment,It creates video content and podcasts,"Bijay Gautam, Souniya Khurana",India Angel Fund,3000000.0,Seed
Fourth Partner Energy,2010,Bangalore,Engineering,Largest startup in the distributed solar sector,Saif Dhorajiwala,ResponsAbility Investments AG,15000000.0,Unknown Stage
Entri,2017,Kochi,Education,Local language learning startup,Mohammed Hisamuddin,Good Capital,1700000.0,Pre-Seed
Snack Amor,2017,Mumbai,Food and Beverages,Healthy snack startup,Deepak Grover,Dr Srinivas Chunduru,3000000.0,Unknown Stage
MPowered,2016,Gurugram,Technology,Asset Management Solutions,Sudeep Singh,"Ashok Nichani, Shelly Nichani",21000000.0,Pre-Seed
Leap Club,2020,Gurugram,E-commerce,Community led professional network for women,"Ragini Das, Anand Sinha",Titan Capital,3000000.0,Unknown Stage
Ather Energy,2013,Bangalore,Manufacturing,Electric scooter manufacturer,"Tarun Mehta, Swapnil Jain",Hero MotoCorp,11241000.0,Series C
Gigforce,2016,Bangalore,Human Resources,Provides staffing solutions for businesses,"Chirag Mittal, Parag Modi, Anirudh Syal",Unitus Venture,804000.0,Unknown Stage
Vegrow,2020,Bangalore,Agriculture,It is building an asset-light farm by partnering with small farms on a profit-sharing model,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Matrix Partners India, Ankur Capital",2500000.0,Seed
Finn,2019,Bangalore,Finance,Neobanking startup that digitises all banking transactions,"Suman Maram, Sudheer Maram","Unicorn India, PointOne Capital, Astir Ventures",3000000.0,Pre-Seed
Bijnis,2015,Bangalore,E-commerce,Provides a platform for manufacturers and retailers in digital transaction,"Siddharth Vij, Siddharth Rastogi, Shubham Agarwal, Chaitanya Rathi","Sequoia Capital India, Matrix Partners India, InfoEdge, Waterbridge Ventures",10000000.0,Series A
iNurture,2009,Bangalore,Education,"It provides a conducive and healthy teaching, learning environment",Ashwin Ajila,BlackSoil Capital,1340000.0,Unknown Stage
StyleDotMe,2014,Gurugram,Lifestyle,"mirrAR, helps jewellers sell jewellery with no physical inventory","Meghna Saraogi, Akhil Tolani",Survam Partners,467000.0,Pre-Seed
Ripsey,2018,Mumbai,Health,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,"Silky Singh, Alkheya Boora Rpsey",Ah! Ventures,133000.0,Unknown Stage
ThriveFNC,2017,Pune,Health,Focusses on reversing chronic lifestyle disorders through functional nutrition.,Mugdha Pradhan,Rajesh Ranavat,3000000.0,Seed
Vedantu,2011,Bangalore,Education,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Coatue,100000000.0,Later Stage
Magicpin,2015,Gurugram,Finance,"It is a local discovery, rewards, and commerce platform","Anshoo Sharma, Brij Bhushan",Samsung Venture Investment Corporation,7000000.0,Later Stage
Procol,2018,Delhi,Agriculture,Commodity procurement platform,"Gaurav Baheti, Sumit Mendiratta",Sequoia Surge,3823000.0,Unknown Stage
Yumlane,2016,Mumbai,Technology,Online retailer that offers a range of on-the-go hot snacking and meals,Hitesh Ahuja,Jetty Ventures,1000000.0,Pre-Seed
Crio,2018,Bangalore,Education,A learning platform for developers,"Rathinamurthy R, Sridher Jeyachandran",021 Capital,934000.0,Unknown Stage
Openapp,2016,Bangalore,Technology,Security solutions startup,Gotama Gowda,Unicorn India Ventures,500000.0,Unknown Stage
PumPumPum,2016,Gurugram,Technology,Offers leased car services,"Tarun Lawadia, Sameer Kalra",LetsVenture Syndicate,293000.0,Unknown Stage
uFony Services Pvt ltd,2016,Pune,Education,"School Diary, a platform that brings education to smartphones",Ashish C,Chennai Angels,3000000.0,Unknown Stage
Protinus Fashion Networking Pvt Ltd,2015,Mumbai,Lifestyle,Owns and operates fashion commerce and retail management platform 6Degree,"Nikhil Hegde, Amit Bhardwaj",SucSEED Ventures,3000000.0,Pre-Seed
Uable,2016,Bangalore,Education,Online life skills development platform for children,Saurabh Saxena,3one4 Capital,3000000.0,Seed
ParkSmart,2019,Delhi,Technology,Parking spot reservation platform,"Prateek Garg, Vishva Sharma, Rahul Gupta, Rishabh Nagpal, Ratan Sethi",Ah! Ventures,198000.0,Unknown Stage
Plum,2019,Bangalore,Health,Provides health benefits to corporates,"Abhishek Poddar, Saurabh Arora",Incubate Fund,927000.0,Seed
IncNut Digital,2011,Hyderabad,E-commerce,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,"Chaitanya Nallan, Sangram Simha, Veerendra Shivhare",RPSG Ventures,4000000.0,Series A
GigIndia,2017,Pune,Technology,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,"Sahil Sharma, Aditya Shirole",Incubate Fund India,971000.0,Pre-Seed
Specsmaker,2007,Chennai,Health,Online optical chain for eye wears,Pratik Shah,Eight Road Ventures,3060000.0,Unknown Stage
Piggy Ride,2016,Bangalore,Technology,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities",Manish Tewari,"JAFCO Asia, Artha Venture Fund",1862000.0,Pre-Seed
Chai Waale,2018,Chennai,Food and Beverages,Tea Brand,Vidur Maheshwari,"Tharun Dhariwal, Sunil Kumar Singhvi, Arun Ostwal, Vishal Ostwal, Gunavanth Vaid, Bharat Kumar",232000.0,Unknown Stage
NOTO,2016,Mumbai,Food and Beverages,A brand that makes healthy icecream,"Ashni Sheth, Varun Sheth",WEH Ventures,3000000.0,Angel
Cuemath,2013,Bangalore,Education,It helps students to learn math online,Manan Khurma,Trifecta Capital,2888000.0,Series B
Cars24,2015,Gurgaon,Manufacturing,Online platform for selling used cars,Vikram Chopra,Vivriti Capital,1328000.0,Unknown Stage
JetSynthesys,2012,Pune,Technology,Digital entertainment and technology company,RajanNavani,"Adar Poonawalla, Kris Gopalakrishnan",40000000.0,Unknown Stage
Earth Energy EV,2017,Mumbai,Manufacturing,Electric vehicles startup,Rushi Shenghani,LR Joshi,3000000.0,Seed
Green Cure,2015,Delhi,Health,It sells herbal OTC products,"Sanchit Garg, Sanjeev Dadhich",Venture Catalysts,3000000.0,Unknown Stage
Blue Sky Analytics,2018,Gurugram,Technology,"It is building AI-powered infrastructure to analyse air quality, pollution etc","Abhilasha, Kshitij Purwar","Beenext, Rainmatter CApital Pvt Ltd, Stanford Angels & Entrepreneurs",1200000.0,Seed
Edhusk,2017,Jaipur,Education,Provieds personalised learning to students by leveraging technology-driven models,"Anuj Bhuria, Himanshu Kumar, Himanshu Meena",Mumbai Angel Network,3000000.0,Unknown Stage
Decentro,2020,Bangalore,Finance,Automated API-based platform that enables financial integrations.,Rohit Taneja,Y Combinator,15500000.0,Series A
Zolostays,2015,Bangalore,Accomodation,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry","Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital",56000000.0,Series C
Frontier Markets,2011,Jaipur,E-commerce,Women entreprenuers sells products and services to rural India,Ajaitha Shah,"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.",2250000.0,Pre-Seed
Brainwired,2018,Kerala,Agriculture,India’s first livestock health monitoring company,"Sreeshankar S Nair, Romeo P Jerard","Kritik Abiram, Parthiv Rokadia, Gaurav Saraogi",3000000.0,Unknown Stage
Aye Finance,2014,Gurugram,Finance,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma",Invest in Vision,16753000.0,Later Stage
Paper Boat,2013,Gurugram,Food and Beverages,Ecommerce platform for beverages and snacks,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Sofina Ventures, A91 Emerging fund, SCI Growth Investment II, Catamarann Ventures",3700000.0,Unknown Stage
Ken42,2019,Bangalore,Education,A platform that caters to evolving needs of institutions,Ganesh Raju,Turbostart,1470000.0,Unknown Stage
Forbidden Foods,2016,Delhi,Food and Beverages,Packaged snacks company,Anuj Krishnan,"Globevestor, Secocha Ventures, First Cheque VC, Kashyap Deorah, Vijay Sivaram",1000000.0,Seed
Universal Sportsbiz,2012,Bangalore,Lifestyle,Indian fashion industry with on-trend products,Anjana Reddy,NB Ventures,530000.0,Unknown Stage
Gobbly,2016,Gurugram,Retail,A contactless retail store filled with fruits and veggies,Ooshma Garg,Sauce vc,500000.0,Seed
Aerostrovilos,2016,Chennai,Manufacturing,Manufactures micro gas turbines for power-based application,"Rohit Grover, Pradeep Thangappan",Mumbai Angels Network,3000000.0,Unknown Stage
Mitron,2016,Bangalore,Media & Entertainment,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal","3One4 Capital, LetsVenture",267000.0,Seed
Bulk MRO,2015,Mumbai,Services,A full stack B2B platform for industrial supplies,"Devang Shah, Gaurang Shah",Stride Ventures,3344000.0,Unknown Stage
Inspektlabs,2019,Delhi,Technology,Focuses on building computer vision products for physical asset inspections,"Devesh Trivedi, Sanchit","Better Capital, Titan Capital",600000.0,Pre-Seed
Big Bang Boom Solutions,2018,Chennai,Engineering,It developed integrated intellectual properties for defense,"Praveen Dwarkanath, Dr. Shivaraman Ramaswamy",Mumbai Angels Network,1000000.0,Series A
Flinto,2013,Chennai,Education,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,"Vijay Babu Gandhi, Shreenidhi Srirangam, Arunprasad Durairaj",Lightbox Ventures,7200000.0,Series A
Zetwerk,2018,Bangalore,Retail,B2B marketplace that connects manufacturing companies for industrial equipements,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",Greenoaks,21000000.0,Series C
ChitMonks,2016,Hyderabad,Finance,Offers enterprise private platform for chit fund firms,Pavan Adipuram,Unicorn India Ventures,650000.0,Pre-Seed
Walrus,2019,Bangalore,Finance,It provides banking solutions for teens and young adults,"Bhagaban Behera, Sriharsha Shetty, Nakul Kelkar",Better Capital,3000000.0,Pre-Seed
Arth Designbuild,2016,Hyderebad,Real Estate,Construction technology and solutions provider,Swapnil Sahu,"Startup-O, Eden Ventures",1100000.0,Unknown Stage
goDutch,2016,Mumbai,Finance,Group Payments platform,"Aniruddh Singh, Riyaz Khan, Sagar Sheth","Matrix India, Y Combinator, Global Founders Capital, Soma Capital, VentureSouq",1700000.0,Seed
Rusk Media,2019,Delhi,Media & Entertainment,It creates video content,Mayank Yadav,"InfoEdge Venture Fund, Sprout Venture Partners",3000000.0,Seed
Bold Care,2019,Mumbai,Health,Digital platform that offers sexologist consultations for  men,"Rajat Jadhav, Rahul Krishnan, Harsh Singh, Mohit Yadav","Rajesh Ranavat, Abhishek Shah, Sheetal Bahl, Manu Rikhye, Ashish Taneja, Kabir Kochhar, Mohit Satyanand",3000000.0,Angel
Samosa Party,2017,Bangalore,Food and Beverages,Provides quality Indian Snacks,Amit Nanwani,Inflection Point Ventures,3000000.0,Unknown Stage
High Street Essentials,2012,New Delhi,E-commerce,The parent company of women's fashion brands FabAlley and Indya,"Shivani Poddar, Tanvi Malik","SAIF Partners, India Quotient",2743000.0,Series B
Byju's,2011,Bangalore,Education,Provides online learning classes,Byju Raveendran,BOND,3000000.0,Unknown Stage
Slice,2016,Bangalore,Finance,A financial platform for youngsters,Rajan Bajaj,Gunosy,6082000.0,Series A
Bombay Play,2016,Bangalore,Technology,It designs and creates online multiplayer games,"Abhas Saroha, Oliver Jones","Leo capital, Ramakant Sharma",1500000.0,Pre-Seed
Fullife,2011,Mumbai,Health,It sells sports nutrition supplements through a brand called Fast&Up,Varun Khanna,Amansa Capital,6609000.0,Unknown Stage
Oziva,2016,Bangalore,Health,Clean Label Active Nutrition Brand,"Aarti Gill, Mihir Gadani",Matrix Partners,5000000.0,Series A
Aye Finance,2014,Gurugram,Finance,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma","Capital G, Alphabet's Independent growth fund",27700000.0,Later Stage
